U                I
5.61E-03	-6.69E-03
3.18E-01	-7.08E-03
5.64E-01	-4.31E-03
6.44E-01	4.30E-04
6.70E-01	8.47E-03
6.75E-01	1.39E-02
6.97E-01	2.68E-02
7.19E-01	5.42E-02
7.43E-01	9.91E-02
7.60E-01	1.53E-01
7.71E-01	2.14E-01
7.87E-01	2.80E-01
8.02E-01	3.46E-01
8.00E-01	4.14E-01
8.23E-01	4.85E-01
8.24E-01	5.55E-01
8.39E-01	6.32E-01
8.42E-01	7.02E-01
8.56E-01	7.75E-01
8.53E-01	8.52E-01
8.64E-01	9.24E-01
8.72E-01	1.00E+00
8.80E-01	1.07E+00
8.89E-01	1.15E+00
8.92E-01	1.22E+00
8.98E-01	1.29E+00
9.02E-01	1.37E+00
9.09E-01	1.45E+00
9.25E-01	1.52E+00
9.25E-01	1.60E+00
9.28E-01	1.67E+00
9.32E-01	1.75E+00
9.43E-01	1.82E+00
9.48E-01	1.89E+00
9.58E-01	1.97E+00
9.58E-01	2.04E+00
9.70E-01	2.12E+00
9.71E-01	2.15E+00
9.73E-01	2.15E+00
9.80E-01	2.15E+00
9.93E-01	2.15E+00
9.97E-01	2.15E+00
1.00E+00	2.15E+00
